"","ybar","theta_hat"
"",88.1428571428571,88.1417411143365
"Aglianico del Vulture",88.2083333333333,88.2077671657013
"Alto Adige",87.5598290598291,87.5597814187339
"Alto Adige Valle Isarco",88.72,88.7195294538481
"Asolo Prosecco Superiore",87.1111111111111,87.1112513775529
"Asti",84.8,84.8018356741647
"Barbaresco",90,89.9943403119659
"Barbera d'Alba",87.4528301886792,87.4525898284039
"Barbera d'Alba Superiore",87.0833333333333,87.0826474944221
"Barbera d'Asti",87.2205882352941,87.2205948339312
"Barbera d'Asti Superiore",87.3,87.2995194915857
"Barbera del Monferrato",86.6666666666667,86.6670647179179
"Bardolino",87.9090909090909,87.9086164400309
"Bardolino Chiaretto",86.4615384615385,86.4619888260222
"Bardolino Classico",86.6,86.599636789401
"Basilicata",85.9,85.9007174306521
"Beneventano",86.5,86.5011536671125
"Bolgheri",87.7179487179487,87.7181431364011
"Campania",86.1153846153846,86.115112136574
"Campi Flegrei",87.8571428571429,87.854893152077
"Cannonau di Sardegna",87.1428571428571,87.142628332594
"Carignano del Sulcis",88,87.9979233543441
"Carmignano",88,87.9985279126667
"Castel del Monte",86.6842105263158,86.6846579787806
"Cerasuolo d'Abruzzo",87,87.0008598280019
"Cerasuolo di Vittoria",87,87.0004147424315
"Cerasuolo di Vittoria Classico",88.6666666666667,88.6628987146227
"Cesanese del Piglio",87.6,87.5972394568347
"Chianti",85.8715596330275,85.8714792851876
"Chianti Classico",87.2570281124498,87.2569312950254
"Chianti Colli Fiorentini",86.0909090909091,86.0918958757942
"Chianti Colli Senesi",86.6071428571429,86.6067122949242
"Chianti Montalbano",87.2,87.198847950468
"Chianti Rufina",87.5,87.4991344772042
"Chianti Superiore",86.2857142857143,86.2857459173369
"Cirò",87.25,87.2490247584607
"Colli Aprutini",85.1111111111111,85.1122150635556
"Colli Orientali del Friuli",86.4943820224719,86.4943428933938
"Colline Novaresi",87.1,87.0998305487686
"Colline Pescaresi",86.5454545454545,86.5455588211047
"Collio",87.3688524590164,87.3687441567074
"Conegliano Valdobbiadene Prosecco Superiore",86.9194630872483,86.9193224055899
"Cortona",86.5454545454545,86.5462593525048
"Delle Venezie",85.2708333333333,85.2713620294156
"Dogliani",87.8333333333333,87.8312625824066
"Dolcetto d'Alba",86.5438596491228,86.5435947203325
"Dolcetto di Dogliani",88.1666666666667,88.1628881943475
"Emilia",84,84.0035935190116
"Emilia-Romagna",86.6666666666667,86.6666774704169
"Etna",88.375,88.3741309635923
"Falanghina del Sannio",87.8333333333333,87.8332093931453
"Falerio",86,86.0027311000881
"Fiano di Avellino",88.1428571428571,88.1423785445076
"Forlì",86.2,86.2008910092874
"Franciacorta",87.3333333333333,87.3331100989404
"Frascati Superiore",85.6666666666667,85.6687017488877
"Friuli",86.1666666666667,86.1676815719908
"Friuli Aquileia",86.25,86.2498613328206
"Friuli Colli Orientali",86.7619047619048,86.7623304126375
"Friuli Grave",85.8888888888889,85.8890355363555
"Gavi",86.7096774193548,86.7100627658713
"Greco di Tufo",88.15625,88.1556137517171
"Irpinia",87.5,87.499367637448
"Isola dei Nuraghi",88,87.9997958385855
"Isonzo del Friuli",87,86.9987364134399
"Italy",84.5294117647059,84.5305234113964
"Lacryma Christi del Vesuvio",86.2142857142857,86.2151745015764
"Lambrusco dell'Emilia",84.8,84.803908526024
"Lambrusco di Sorbara",87.7272727272727,87.7272153279932
"Lambrusco Grasparossa di Castelvetro",85.7272727272727,85.7284362033831
"Langhe",86.6451612903226,86.6456134444278
"Lazio",86.1875,86.1877178465045
"Lugana",88.4677419354839,88.4674397984133
"Marca Trevigiana",85.3333333333333,85.3367556093837
"Marche",85.5,85.5001092436841
"Maremma",86.969696969697,86.9691403917495
"Maremma Toscana",87.8235294117647,87.8233278175736
"Molise",87.3333333333333,87.3341102796404
"Monferrato",85.9,85.9018273795484
"Monica di Sardegna",87,87.0000523352481
"Montecucco",85.8461538461538,85.8470034603315
"Montefalco Rosso",87.5,87.4997802334493
"Montepulciano d'Abruzzo",86.0322580645161,86.032586823699
"Morellino di Scansano",87.2978723404255,87.2977779635868
"Moscato d'Asti",86.6144578313253,86.6145255260014
"Nebbiolo d'Alba",87.75,87.7492037351323
"Offida Pecorino",87.6666666666667,87.666062073583
"Orvieto",86.3636363636364,86.3642153723059
"Orvieto Classico",85.2727272727273,85.2738083736841
"Orvieto Classico Superiore",86.75,86.7503772152337
"Piave",85.5625,85.5630494659462
"Piedmont",84.7142857142857,84.7151345431345
"Pompeiano",84.8333333333333,84.8368849420921
"Primitivo di Manduria",87.4736842105263,87.4727178027024
"Prosecco",85.5669291338583,85.5670699701625
"Prosecco del Veneto",85.4666666666667,85.4667637198094
"Prosecco di Conegliano",85.9333333333333,85.9336559776831
"Prosecco di Conegliano e Valdobbiadene",86.0606060606061,86.0608212031857
"Prosecco di Valdobbiadene",86.4912280701754,86.4915044627692
"Prosecco Treviso",86.3142857142857,86.3141842149233
"Puglia",85.975,85.9750209598011
"Roero",87.6388888888889,87.6383138009358
"Romagna",87.4210526315789,87.4209498587883
"Rosso Conero",86.4285714285714,86.427654389162
"Rosso del Veronese",87.125,87.1247876655879
"Rosso di Montalcino",87.3733333333333,87.3729770752077
"Rosso di Montepulciano",87.2235294117647,87.2233959184752
"Rosso Piceno",86,86.000327616983
"Rosso Piceno Superiore",85.875,85.8757918808684
"Salento",86.0530973451327,86.0533562723946
"Salice Salentino",86.8857142857143,86.8857999102639
"Sangiovese di Romagna Superiore",85.5,85.5022956598773
"Sannio",86.4,86.4005574263223
"Sicilia",86.5685840707965,86.5684763101516
"Soave",86.4594594594595,86.4596164683113
"Soave Classico",87.36,87.360090117066
"Soave Classico Superiore",88.3,88.2983896360979
"Taburno",85.5454545454545,85.5472707352036
"Terra degli Osci",86.2,86.1996470840624
"Terre del Volturno",86.4,86.4004636341343
"Terre di Chieti",85.6521739130435,85.6528278816025
"Terre Siciliane",86.7109375,86.710899391835
"Toscana",86.9357142857143,86.9358867133507
"Trebbiano d'Abruzzo",85.7222222222222,85.7233500305134
"Trentino",86.3882352941176,86.3882140667324
"Trento",88.8,88.7989635758334
"Umbria",86.6724137931034,86.672196548496
"Valdadige",85.7777777777778,85.7790354125512
"Valdobbiadene Prosecco Superiore",88.3086419753086,88.308565528155
"Valpolicella",85.3913043478261,85.3920956655574
"Valpolicella Classico",84.725,84.725300581751
"Valpolicella Classico Superiore",86.2105263157895,86.2119571490452
"Valpolicella Classico Superiore Ripasso",87.3888888888889,87.3885047355539
"Valpolicella Ripasso",86.7272727272727,86.7274248481116
"Valpolicella Superiore",85.8888888888889,85.8901058486525
"Valpolicella Superiore Ripasso",86.6,86.601129994097
"Veneto",85.1222222222222,85.122394354255
"Venezia",85.1666666666667,85.1687714438007
"Venezia Giulia",86.3076923076923,86.3081607329948
"Venezie",84.7333333333333,84.7350685724242
"Verdicchio dei Castelli di Jesi",86.125,86.1254828322101
"Verdicchio dei Castelli di Jesi Classico",86.6333333333333,86.6334445705506
"Verdicchio dei Castelli di Jesi Classico Superiore",87.7567567567568,87.7565459335456
"Verdicchio di Matelica",88.7777777777778,88.7757222231626
"Vermentino di Gallura",88.625,88.6229235524795
"Vermentino di Sardegna",87.6666666666667,87.6663701129431
"Vernaccia di San Gimignano",87.2903225806452,87.2901581882729
"Veronese",86.875,86.8744491694477
"Vigneti delle Dolomiti",86.7906976744186,86.7906060841458
"Vino Nobile di Montepulciano",87.8333333333333,87.8324938273495
"Vino Spumante",86.7,86.7004394400857
"Vittoria",88.5454545454545,88.5452002925368
